X,Y,Distancia,Angulo
30,49,260.66453537065604,-128.14488101989946
30,153,190.057885919001,-147.89875110416446
36,101,217.79348015953096,-135.3720452872033
39,91,222.87440409342656,-133.00000770096582
40,191,163.6154026979123,-157.35319768698938
44,137,187.8776197422141,-141.48307369289725
44,202,155.92626462530293,-160.51919977172062
51,16,276.1231609264243,-120.46554491945989
51,98,209.60916010518244,-131.9059419410829
61,148,167.73789077009405,-140.80672690553158
62,24,263.7062759966095,-119.28674042544995
65,229,128.4562182223967,-168.77754193055517
75,264,116.43023662262307,175.072890052351
76,236,116.40017182117903,-171.1041430303367
88,239,104.08650248711405,-171.71420297604627
94,177,123.84667940643382,-141.5569464981634
96,213,103.46980235798269,-156.6559890384225
107,72,200.44949488586894,-114.77514056883193
117,59,208.568933448872,-110.78111165824875
129,33,229.53213282675696,-105.67109145200946
137,108,155.66630977832037,-110.2975697722287
137,267,55.54277630799526,166.46414363086578
139,26,233.85465571589546,-102.84770485871768
151,253,40.01249804748511,-178.56790381583536
155,15,241.69609016283238,-98.56593077299165
156,155,105.00476179678711,-109.47030200946695
161,253,30.01666203960727,-178.09084756700364
163,210,52.15361924162119,-122.47119229084849
184,210,44.553338819890925,-99.03948280335513
187,79,175.04570831642803,-91.30938981941055
190,34,220.00227271553356,-90.26043356781338
191,167,87.0,-90.0
196,258,6.4031242374328485,38.65980825409009
206,257,15.297058540778355,11.309932474020213
209,223,35.84689665786984,-59.85861444792466
221,258,30.265491900843113,7.594643368591445
223,89,168.07438829280326,-79.02434482718745
233,257,42.1070065428546,4.085616779974877
234,175,89.94442728707543,-61.44037952168017
235,208,63.655321851358195,-46.27303002005671
247,255,56.00892785976178,1.0230301886678357
248,236,59.77457653551382,-17.52556837372287
252,144,125.78155667664477,-60.989639737312594
253,50,213.21350801485352,-73.09484190136435
254,158,114.82595525402782,-56.72511201516508
261,253,70.00714249274856,-0.8184554616886145
269,228,82.21921916437786,-18.43494882292201
271,196,98.812954616285,-35.94211187138234
283,249,92.13576938409967,-3.1108406534907718
289,190,117.04699910719626,-33.146995832256
313,225,125.39936203984452,-13.371331969891926
318,79,216.22673285234646,-54.031071796440635
330,122,191.68985366993215,-43.520364229103194
333,188,156.58863304850706,-24.928474135461272
334,177,162.4130536625674,-28.30075576600638
25,202,173.95401691251627,-162.60667785308797
45,105,208.60728654579637,-134.41735114081354
87,129,162.60688792299052,-129.76045631457077
93,235,99.82484660644363,-169.02775976218837
96,239,96.17692030835673,-171.0273733851036
101,124,158.11388300841898,-124.69515353123397
140,136,128.5496013218244,-113.37416436504822
213,135,121.01652779682617,-79.52576517177418
224,124,134.12307780542466,-75.75653942645218
227,132,127.20062892926276,-73.55962047831983
