X,Y,Distancia,Angulo
22,165,228.26519664635694,173.96471760338775
23,147,226.07963198837706,178.47923033885624
44,205,214.75800334329801,162.66189085763853
45,98,208.48261318392957,-168.09718786493045
47,347,288.51343122981297,134.43829466743344
60,349,281.04270138183625,132.259975320498
61,100,192.41881404893857,-167.6972736747573
72,349,273.11719096387907,130.39650520111653
79,193,177.7751388693031,162.9920530445927
81,259,205.2997808084558,144.91652612090726
82,100,171.95929750961417,-166.20619138782345
86,351,265.8364158650955,127.81827389114787
102,351,256.33766793040775,124.99202019855868
111,244,172.20046457544765,143.26319335639
117,222,154.8709139896837,148.46520809481171
123,332,228.81652038259824,123.41227198390268
123,354,247.4772716836841,120.60640703150949
127,205,137.7679207943562,152.31893843151474
133,352,240.78413569004084,118.8003687468157
138,106,116.3872845288522,-162.49913873104717
146,206,121.79490958164057,147.74528947313286
148,145,101.07917688624102,177.73204546409417
160,113,93.30058949438637,-162.53607310815715
163,256,143.60013927569847,126.79009856162929
170,351,224.3680012836055,110.61582170234286
171,249,133.2216198670471,125.8376529542783
181,349,218.8332698654389,108.10376303450663
190,124,61.40032573203501,-163.92642583525364
196,139,53.03772242470448,-177.83892051177364
202,208,81.8413098624405,125.04937331204842
213,133,36.87817782917155,-167.47119229084848
220,142,29.017236257093817,178.02506598911802
232,279,139.04315876734103,97.0227938355732
242,243,102.23991392797629,93.92590770368398
242,333,192.12756179163884,92.08798383272335
251,210,69.02897942168927,88.33971763101721
251,267,126.01587201618692,89.09061955080087
252,333,192.02343606966312,89.10482628978893
261,327,186.3866948041088,86.30861401354873
262,178,39.21734310225516,70.64100582430528
267,279,139.16896205691842,82.5685920288275
269,222,83.43260753446461,76.13031356149496
271,320,180.34688796871433,82.99320035991946
272,192,55.94640292279746,65.72555886556054
280,297,159.05030650709227,78.76071580030232
284,261,125.0,73.73979529168804
297,449,311.7178211139042,81.14204123637165
69,136,180.06943105369106,-178.40885972880542
69,319,253.14817795117546,135.32008482378168
72,115,178.89941307897016,-171.64343329350285
76,326,253.28639916110774,133.0801898700445
77,197,180.88670487352022,161.96571443287016
78,288,225.49944567559362,139.31602751986563
78,328,253.39692184397188,132.44099768230055
79,248,200.8706051168264,147.81320595903742
83,145,166.04818577750254,178.61964592655556
85,336,254.7959968288356,130.06469596657288
90,202,170.29973576021777,159.0107990638996
90,204,171.0263137648707,158.38522105721376
93,201,167.14065932620943,158.96248897457818
95,199,164.5600194457937,159.3624530153122
95,330,243.79704674175198,129.17365797044425
98,198,161.40012391568973,159.31930861118292
100,216,166.8112706024386,153.28134120297264
100,337,246.2051989702898,127.24224515466918
102,196,156.95222202950808,159.48668093171602
101,198,158.59697348940804,158.93655154786964
102,241,177.78920102188434,145.77363818777619
102,336,244.20073709962466,127.01067323360311
103,254,184.6212338816963,142.2611105811073
113,285,198.07069445023916,133.36342295838327
113,334,236.10379073619296,125.17094467439809
115,321,224.4014260204244,126.66563548264217
117,191,141.1523999087511,159.2539197243166
118,254,173.0028901492689,139.21909534924848
122,203,141.32586458253138,153.97887975571345
121,291,197.1902634513175,130.47523152716582
123,344,238.92467432226417,121.82744657667313
129,180,126.17844506887855,161.99583839408663
130,321,215.77998053572995,123.46913373855966
133,194,127.534309109353,155.44450263594314
135,238,149.68299836654796,139.60629785064185
136,300,195.0640920313116,125.4010969314582
138,330,219.18485349129398,120.42578380196127
140,330,218.17882573705452,119.97289058597137
142,259,159.28904544883179,132.20110148642365
141,306,197.20294115453754,123.20657031508954
142,282,177.00282483621552,127.19359917076424
144,304,193.89172236070317,122.78849162352404
143,307,196.95684806576287,122.56043798115344
143,320,208.03124765284662,120.63311679218201
146,319,205.65261972559455,120.05589272693969
149,211,122.06555615733703,145.00797980144134
154,266,157.00318468107582,127.23483398157467
154,226,127.47548783981962,138.17983011986425
155,291,177.0197729068705,122.07400087529405
154,314,197.3676771915807,118.77263895648451
158,242,135.94851966829208,132.01853878001782
159,293,176.64653973401235,120.6299984848207
162,338,215.3555200128383,113.82742138057044
165,298,178.05897899291685,118.1481998478623
167,327,203.2732151563506,113.7907738657772
171,276,155.9134375222354,120.01836742760908
172,280,158.90248582070703,118.98456039373431
174,277,155.30936868070773,118.8754433962281
174,239,123.40583454602137,127.4270513594566
177,229,113.70136322841516,129.28940686250036
177,282,158.31929762350515,117.05059700708614
186,319,188.8200201249857,109.49053050797542
188,267,139.98928530426892,115.8328765995142
187,337,205.5723716845238,107.55354482633989
194,246,118.53269591129698,117.64597536373869
195,244,116.29703349613007,117.66675729228436
197,196,75.69015788066504,133.39399701071775
198,194,73.55270219373317,133.89829388479365
203,324,188.692872149427,104.10988838818356
205,213,84.38009243891595,121.42956561483851
210,204,74.09453421137081,121.75948008481281
210,287,151.11915828246265,104.95583993007403
214,233,98.43271813782245,110.82855579020683
214,236,101.24228365658294,110.22485943116808
218,239,102.7861858422619,107.55354482633989
