X,Y,Distancia,Angulo
25,201,116.27553482998907,-176.05481377096245
33,89,161.44348856488452,-131.98721249581666
34,131,132.41223508422476,-143.90900001194163
35,142,125.39936203984452,-147.70402361405684
65,144,100.00499987500625,-139.46084825851656
75,133,100.65783625729296,-130.97173633351485
90,234,56.79788728465171,153.8860873697093
92,128,94.66784036831093,-121.17134902771984
102,202,39.6232255123179,-169.8244891569568
123,158,54.08326913195984,-109.4400348281762
127,342,133.73481222179961,96.00900595749452
129,277,69.05070600652827,100.00797980144135
151,195,17.204650534085253,-54.46232220802562
157,32,177.72169254201918,-84.83475895500423
165,110,101.86756107809786,-76.37300514010846
180,30,183.19934497699495,-77.7086512371334
198,82,139.20488497175666,-65.82855579020683
204,28,191.65072397463047,-70.80871518425222
205,183,69.07966415668217,-22.109448343751673
209,345,152.0526224699857,63.43494882292201
210,134,101.91172650877817,-47.38594403038881
215,32,191.84629264074925,-67.3112147409588
222,346,159.15401345866212,59.40668515643687
226,74,159.53056133543816,-57.804266065286754
237,260,108.70602559196064,27.979474388480146
251,231,112.17842929904127,11.309932474020213
255,107,152.97058540778355,-41.82016988013577
263,346,183.44754018519845,48.314585820643494
267,205,126.0634760745554,-1.8183029644518336
286,279,161.01242188104618,25.769327624338715
297,182,158.31929762350515,-9.819300638757898
319,176,181.0331461362808,-10.50300301891784
321,343,224.4014260204244,36.66563548264217
322,225,181.70580618131055,5.051689343762425
323,136,196.0943650388761,-21.855666837096507
333,325,224.32119828495925,31.138972436978854
16,153,136.97079980784227,-155.8676204054192
16,163,133.19534526401438,-159.79638483167486
20,212,121.03718436910205,178.57973445360096
26,229,116.72617529928752,170.13419305691565
27,226,115.26057435220423,171.51839420597065
30,240,115.24755962709145,164.39605285494326
31,242,114.84337159801605,163.3007557660064
36,250,112.72089424769483,158.67053848472048
37,248,111.07204868912791,159.44395478041653
39,113,140.07141035914503,-136.7357045889284
40,104,145.69145479402695,-133.88760038370222
47,185,97.01546268507923,-165.67728002179646
50,198,91.6624241442479,-173.10757687751487
55,114,128.14444974324874,-132.1533830841839
55,121,123.0447073221762,-134.3414568224364
59,225,83.54639429682169,168.95905981967627
69,244,80.05623023850174,154.07509849244556
73,156,86.21484790916237,-142.06672971640108
74,145,92.65527507918802,-136.3118877825041
100,244,53.907327887774215,139.51398845800128
104,251,55.97320787662612,131.37851529588266
119,100,111.19802156513397,-101.41098312676539
120,93,117.88553770501282,-100.26137471723439
123,92,118.37651794169315,-98.74616226255522
123,96,114.42464769445436,-99.05072167718373
179,270,71.8679344353238,58.07912378006683
183,275,78.23042886243178,57.52880770915151
193,266,77.15568676384133,47.62640563829075
198,208,57.0087712549569,-1.0050860052541812
226,301,125.25573839150046,47.26475454822342
255,70,179.76929659983654,-50.64331828053398
265,186,126.11502686040232,-10.508022140232413
276,214,135.09256086106296,2.1210963966614536
279,221,138.52075656738234,4.969740728110304
300,244,162.8066337714775,12.414292646085588
300,246,163.24827717314508,13.099843082266283
302,245,164.97575579460153,12.604147283761833
302,250,166.13849644197458,14.287172284841144
305,248,168.5734261382855,13.376752829851442
305,250,169.04733065032408,14.036243467926479
309,200,168.24089871371942,-3.0664855011258934
