X,Y,Distancia,Angulo
44,77,92.17917335276988,164.90842732140513
53,111,98.812954616285,144.05788812861766
54,193,160.75136080294934,119.43541636139263
58,128,106.06601717798213,135.0
83,178,134.6291201783626,111.80140948635182
86,189,143.8923208513922,109.06454743133229
89,17,56.85068161420758,-140.71059313749967
104,138,89.81091247727082,108.83843355798076
118,194,141.7956275771577,96.07245640720771
126,87,34.713109915419565,101.63363399894044
127,204,151.11915828246265,92.27545643825421
128,159,106.1178590059185,92.7006293373953
136,197,144.03124660989366,88.80651057601797
140,97,44.553338819890925,80.96051719664487
154,141,90.47098982546837,76.5781649321138
160,91,46.61544808322666,54.60520415501294
164,75,38.01315561749642,35.36246188706905
166,132,85.61541917201598,67.32865637801915
173,68,42.720018726587654,20.556045219583467
192,213,170.53152201279386,69.75854752570673
195,223,180.95303258028034,69.96278983080701
204,29,74.94664769020693,-18.676701732190114
204,76,74.63243262818116,17.949402992913875
206,146,118.2285921425101,51.86999230821426
213,35,82.0,-12.68038349181982
233,177,159.29846201391902,51.115503566285405
238,68,106.06601717798213,8.13010235415598
241,94,115.52056094046635,20.788245689030315
260,185,183.17477992343814,46.10595875228853
262,227,216.60332407421637,53.44752724790847
270,79,139.44532978913278,10.745857229577847
289,108,165.41160781517118,19.42082095246683
296,88,166.715326230074,12.11876033472519
307,231,248.91765706755317,45.65106038022949
317,60,184.13310403075272,2.1786800752766027
320,86,189.88944151795275,10.007979801441337
320,229,256.7975856584325,43.264295411071615
328,102,201.06217943710845,14.105357764335244
24,198,181.40011025354974,126.93306827020692
26,45,107.29864864013899,-175.72415888737106
36,20,102.45974819410792,-161.21137801783155
39,43,94.53041838477179,-173.92754359279232
40,46,93.26306878931231,-175.69553103949204
42,44,91.44397191723465,-174.35175262626476
50,89,90.47098982546837,156.5519374220422
68,154,120.10828447696687,122.76388849058367
68,168,132.09844813622905,119.47588900324574
84,25,56.43580423808985,-150.25511870305778
101,202,152.3975065412817,102.12101545258575
114,180,128.41339493993607,98.50870331627031
131,101,48.041648597857254,92.38594403038883
135,210,157.01273833673497,89.27015693597589
146,180,127.66362050325849,84.15543412261313
156,150,99.68951800465283,76.66075109663659
171,222,173.21951391226105,77.32768406367644
176,198,151.24152868838638,73.48218574704043
177,200,153.44380078712857,73.33652091711207
180,197,151.47607071745688,71.92389270342673
179,199,153.07514494521962,72.51200262385146
183,197,152.43359209832983,70.8518625420604
184,210,165.07574019219177,72.00409070275965
198,207,167.1556161186336,67.11646558554305
