X,Y,Distancia,Angulo
15,215,146.0,180.0
22,54,212.7016690108472,-130.80581721160914
24,83,190.24457942343588,-136.06485469345898
29,105,171.8254928699464,-140.19442890773482
30,115,164.80594649465777,-142.6433780714796
32,155,142.2708684165525,-155.05609473657543
35,381,208.4034548657963,127.19981211581832
40,390,212.7580785775243,124.66108945705895
41,355,184.39088914585776,130.6012946450045
43,17,230.4951192541829,-120.79323388223963
43,257,125.25174649480941,160.40771810894847
49,46,202.74368054269902,-123.53330791845653
49,381,200.24984394500785,124.00749241973229
52,160,122.09013064126027,-153.22507511135447
57,58,188.32153355365392,-123.52130283138713
60,70,176.70880000724355,-124.85920685388722
61,43,198.9572818471342,-120.17352002964432
62,391,201.93315725754402,119.35775354279127
63,327,148.8220413782851,131.18592516570965
66,260,105.11898020814318,154.65382405805332
67,300,126.73200069437868,137.87836949973402
69,95,151.2084653714864,-127.47617956136138
73,62,176.50212463310464,-119.90593717496341
75,38,196.78668654154427,-115.91399079684851
80,71,165.21803775617238,-119.35775354279127
80,338,147.27525250360293,123.36636600105957
107,121,108.40664186294121,-119.87599269168943
110,380,172.70205557549104,107.17590361574675
117,371,162.0863967148385,105.75117366345303
119,356,147.12239802287073,106.58733855692742
126,145,78.26237921249263,-116.56505117707799
127,243,44.04543109109048,140.52754015165618
136,357,144.183910336764,99.98496020464333
138,296,84.20213774008353,105.85192815428697
139,253,43.9089968002003,120.06858282186246
149,175,41.7612260356422,-106.69924423399362
150,267,53.150729063673246,101.94417718844633
157,53,162.04937519163718,-91.41442321140215
159,255,40.049968789001575,92.86240522611175
161,240,25.0,90.0
165,83,132.06059215375342,-88.26429541107161
165,113,102.07840124139877,-87.75425743410493
174,235,23.853720883753127,56.97613244420336
175,143,73.348483283569,-78.99645914825051
183,60,156.55350523063993,-81.921655336836
184,116,101.6366075781753,-76.92087621993318
184,379,165.60495161679194,82.01668412106669
189,401,188.09572031282372,81.4391104288354
202,244,50.21951811795888,35.272421448598394
205,307,101.9803902718557,64.4400348281762
207,148,81.27115109311545,-55.52778611996356
208,74,148.62705002791384,-71.56505117707799
211,47,175.2826289168439,-73.42599224309102
211,217,50.039984012787215,2.2906100426385296
212,377,169.83815825661793,72.52522574374433
220,270,80.65977932030313,42.99044618697886
233,257,83.35466393669883,30.256437163529263
236,47,183.98097727754356,-65.94265054998827
236,65,167.70509831248424,-63.43494882292201
236,181,82.34682750416071,-24.38637110180139
236,239,78.74642849044012,17.744671625056935
236,271,93.60021367496978,36.747470952863914
240,292,110.3177229641729,44.26547896574518
242,172,91.706052144883,-27.96223220437437
243,251,89.55445270895244,23.702645950966243
258,59,183.69812192834198,-58.12686301872735
260,309,136.517398158623,43.5159853243379
262,137,127.61269529321916,-37.67809171302629
265,38,205.29247428973133,-59.56275627829428
265,50,195.04102132628407,-57.77664476925213
288,206,127.3184982632139,-4.053554231831407
296,89,184.66456075814872,-43.025065989118026
296,130,159.53056133543816,-32.19573393471325
299,277,151.28780519261954,24.19320898728877
301,204,140.4314779527724,-4.492581479915314
303,216,142.00352108310554,0.40348473505875015
304,124,169.49926253526885,-32.47119229084849
310,374,217.90364843205356,46.85959933874556
311,228,150.56227947264878,4.953257477842062
314,340,197.57024067404484,39.248597909634015
320,26,246.98582955303326,-49.927109947649015
321,306,184.06792224611002,29.629054407192825
322,213,161.01242188104618,-0.7117122060356939
327,381,234.75945135393377,45.0
333,207,172.18594600024707,-2.6630007660671433
335,154,184.3827540742355,-19.319376024414446
42,268,130.26895255585654,155.9928533731142
42,273,132.38202294873727,154.0156294088147
100,254,72.40165743959182,147.40741852740075
130,215,31.0,180.0
134,197,32.449961479175904,-146.30993247402023
143,234,26.1725046566048,133.45184230102205
151,106,109.45775440780794,-95.24181994697956
153,242,28.160255680657446,106.50436138175503
158,189,26.1725046566048,-96.58194465517802
162,195,20.024984394500787,-87.13759477388825
170,186,30.364452901377952,-72.75854060106002
174,213,13.152946437965905,-8.74616226255521
173,215,12.0,0.0
194,168,57.42821606144492,-54.9262455066517
195,225,35.4400902933387,16.389540334034784
196,205,36.40054944640259,-15.945395900922854
205,271,71.21797525905943,51.84277341263094
206,159,71.84010022264724,-51.215635899702654
208,191,52.773099207835045,-27.050597007086125
303,210,142.08800090085018,-2.016623874623098
308,84,196.9009903479411,-41.70603501215489
