X,Y,Distancia,Angulo
55,31,175.96022277776305,-113.79718135619034
78,158,58.82176467941097,-144.6887865603668
92,189,34.132096331752024,-174.9575489308291
94,144,57.688820407423826,-123.69006752597979
115,28,164.3684884641822,-93.83726211732765
119,198,9.219544457292887,139.39870535499554
174,83,119.10079764636339,-66.23289229541842
176,127,82.00609733428362,-52.43140797117251
188,144,78.40918313565064,-37.74680538727467
191,163,71.17583859709698,-24.044223269367816
196,91,122.88612614937456,-55.275358164878135
206,171,82.71033792700887,-14.708303899682749
214,73,148.00337833982033,-53.51723010830693
218,106,125.93649193144932,-43.06941255883301
235,20,203.62956563328422,-57.6367092379243
241,103,145.41664278891878,-37.73675525941544
245,81,162.73291000900832,-43.00790642703356
245,190,119.01680553602503,-0.9628636256362129
246,21,208.90428430264421,-54.940573033113026
248,66,175.38529014715002,-45.92404535277271
265,125,154.30489298787643,-25.734735690819978
274,97,175.86642658563346,-32.69607644594009
274,180,148.48568954616468,-4.635463426902643
292,155,170.07351351694948,-12.565348379907304
299,50,223.8146554629522,-39.379466171408026
310,198,184.09780009549272,1.8676788394341723
326,192,200.0,0.0
328,140,208.58571379651102,-14.435974978975198
66,75,131.48764200486676,-117.14968169778317
125,105,87.00574693662483,-90.65854317756362
126,67,125.0,-90.0
133,177,16.55294535724685,-64.98310652189998
136,137,55.90169943749474,-79.69515353123397
143,104,89.62700485902673,-79.06618321424422
144,120,74.21590126111789,-75.96375653207353
149,114,81.32035415564789,-73.57069854846661
152,45,149.2816130673835,-79.96978668026716
158,116,82.46211251235322,-67.16634582208245
163,165,45.803929962395145,-36.119340849479755
171,101,101.51847122568385,-63.68735150521117
173,183,47.853944456021594,-10.840305454330565
177,65,136.8575902169843,-68.12084866242472
181,152,68.00735254367721,-36.02737338510361
190,117,98.59513172565875,-49.52476847283419
196,44,163.7192719260625,-64.68711619812586
207,101,121.82774724995944,-48.32740424172657
207,110,115.26057435220423,-45.35150343987335
212,183,86.46964785403026,-5.974323286480623
223,60,163.8078142214223,-53.689750289139575
224,176,99.29753269845128,-9.2726017772003
225,44,178.05897899291685,-56.22068678371525
224,125,118.71394189394942,-34.359380297589425
229,60,167.4305826305338,-52.03497591043114
233,41,185.06755523321746,-54.678260053133954
233,178,107.91200118615167,-7.454298812748468
233,132,122.67436570041843,-29.28142706105902
234,171,110.02272492535349,-11.003540851749504
236,122,130.38404810405297,-32.47119229084849
236,185,110.22250223978767,-3.6411852579013417
238,117,134.79243302203577,-33.80795991004192
238,122,132.07573584879245,-32.005383208083494
238,124,131.0267148332736,-31.26373169437743
239,151,120.20815280171308,-19.942384581696977
246,130,135.07035203922436,-27.32389130134654
247,161,124.90796611905904,-14.370001515179306
248,101,152.2005256232711,-36.719317757278255
249,39,196.31097778779463,-51.20344790169184
251,113,147.87156589419075,-32.292886498683416
262,109,159.3267083699403,-31.39547113536793
262,118,154.82893786369524,-28.55139187296019
264,51,197.29419656948858,-45.61605990839923
265,78,179.76929659983654,-39.356681719466025
266,118,158.35403373454054,-27.85965069524227
269,36,211.62466774929618,-47.48955292199916
268,135,153.0130713370593,-21.870943165216595
273,28,220.238507078122,-48.12880984883214
275,122,164.62381358722072,-25.164074973294277
287,54,212.04952251773642,-40.60129464500447
287,61,207.56203891848818,-39.13402885827347
310,154,187.88294228055935,-11.668774000368952
310,194,184.0108692441835,0.6227556872063182
312,86,214.0840956259946,-29.678489925135207
318,182,192.26024029944412,-2.981461219982192
319,52,238.4302833114955,-35.95670332595138
320,63,232.97424750388186,-33.62185829687748
320,187,194.06442229321684,-1.4763685098130983
332,144,211.51832071950648,-13.116436125391473
332,55,247.39644298170498,-33.625834616215485
