X,Y,Distancia,Angulo
22,22,175.4821928287882,-111.74077905447172
27,220,69.46221994724903,149.74356283647072
31,27,167.6305461424021,-109.5158730095827
35,109,92.0869154657707,-124.38034472384487
38,19,173.08090593707902,-106.44558444349663
48,105,89.0,-115.989233583833
72,19,166.67633305301626,-95.16330681437354
82,84,101.1236866416568,-92.83411101630651
82,106,79.1580697086532,-93.62148470411735
87,209,24.0,90.0
89,193,8.246211251235321,75.96375653207353
93,123,62.289646009589745,-84.47245984834383
97,213,29.732137494637012,70.3461759419467
120,77,112.92918134831227,-73.00917670801384
151,157,69.85699678629192,-23.629377730656817
155,203,70.3420215802759,14.826479970355665
161,22,179.0111728356641,-65.58253425122051
177,98,125.1758762701504,-44.028978068920836
183,47,168.1071087134628,-55.175510843043206
186,113,122.41323457861898,-36.02737338510361
198,22,197.20547659738054,-55.74585722957785
203,89,150.57224179774968,-39.61068824002659
234,174,147.41099009232656,-4.279463530245225
248,228,166.6433316997713,14.953564753189498
252,170,165.6804152578089,-5.194428907734806
255,15,239.00627606822377,-45.33902432445145
259,123,182.8332573685652,-19.822464570365216
263,71,209.69501663129716,-32.93223104134667
297,56,246.45689278249046,-31.561811841649348
306,112,230.8462691922917,-18.43494882292201
312,57,258.8609665438187,-29.635066808479635
317,164,230.95670589961227,-5.216889031834481
16,201,72.78049189171504,167.30041551040264
16,179,71.25307010929424,-175.16958004171005
44,112,84.72307831990054,-120.49983323344743
44,133,67.47592163134935,-129.58813084768298
52,131,64.35060217278468,-122.94921511659044
51,134,62.42595614005443,-125.21759296819272
61,174,28.231188426986208,-157.06789956241022
62,17,169.84993376507393,-98.46404566396268
71,167,24.08318915758459,-131.63353933657018
102,73,113.0,-82.3718503314193
115,73,115.44695751729449,-75.96375653207353
118,55,133.64505228402584,-76.58764235813159
141,33,161.3071604114337,-70.44174846300257
154,105,104.35037134576953,-50.053826050064366
161,100,112.69871339105873,-48.957553114127855
165,108,109.60383204979651,-44.630354938152976
170,95,122.42957159118053,-47.317062385871324
172,104,117.41379816699569,-43.61964592655555
174,122,107.41508273980894,-35.90972307917768
178,43,168.65645555388622,-57.346420668726836
178,134,104.31682510506155,-29.267995214892697
187,83,142.84257068535277,-45.567266409857936
202,84,153.05554547287727,-41.291571842869544
205,97,147.20054347725758,-36.71420297604625
231,27,213.7755832643195,-47.65419551340662
244,54,204.47493733951845,-39.84144821939397
258,27,232.81967270830015,-42.73721019286054
321,93,251.4358765172544,-21.462885924719803
