X,Y,Distancia,Angulo
23,190,80.4114419718985,-169.24903300681197
28,90,136.75159962501354,-122.76040016306816
30,178,76.89603370785778,-159.44395478041653
52,99,117.2006825918689,-115.25316339457389
68,95,115.13470371699404,-107.17590361574675
75,175,40.36087214122113,-131.98721249581666
81,125,82.71033792700887,-104.70830389968275
81,184,29.698484809834994,-135.0
117,244,41.78516483155236,68.96248897457819
129,67,140.61649974309557,-78.92979742206063
149,244,61.07372593840988,39.68545433005525
164,157,78.40918313565064,-37.74680538727467
166,49,168.61791126686393,-67.69379494509236
166,177,69.85699678629192,-23.629377730656817
182,46,177.99157283422156,-63.29098988085001
219,57,188.66107176627614,-51.67219999719943
227,210,125.09996003196804,2.2906100426385296
261,237,162.18816233005415,11.379213914876669
292,170,193.19679086361657,-10.43747535111818
302,215,200.24984394500785,2.8624052261117474
326,192,224.37691503361035,-3.3214757633460423
52,208,50.08991914547278,176.56636963754949
57,219,47.12748667179272,162.71850162818336
100,243,38.05259518088089,93.01278750418334
135,73,136.0624856453828,-75.96375653207353
136,240,48.79549159502341,45.830315486258016
142,219,42.37924020083418,19.290046219188735
159,70,146.54009690183776,-67.10944834375167
191,61,169.28378540191025,-58.281631445691964
276,150,182.48561587149823,-17.541326288483173
291,199,189.0952141118331,-1.8183029644518336
