X,Y,Distancia,Angulo
31,48,203.0615670184784,178.58905917961727
31,159,233.80547470065795,150.25511870305778
51,16,184.98108011361595,-171.60707481260752
61,25,173.93389548906217,-174.05996274769936
62,209,239.0397456491284,136.01697803071917
66,174,213.03755537463343,142.05425173336474
71,234,251.09759058979438,130.47754585359803
77,54,157.3848785620779,175.99219545762767
104,207,209.27493877672023,128.4032617021058
106,50,128.191263352851,176.8697551377809
113,254,243.232399157678,119.83253412939773
118,214,206.6325240614362,124.15150006925033
119,152,158.44872987815333,136.5343414997008
124,222,210.09759636892565,121.5717705517773
127,117,130.09611831257686,145.33270051592177
137,267,244.10038918445008,113.41433476381025
140,45,94.02127418834527,178.7811247648687
196,161,123.96773773849388,107.85031830221683
196,175,137.3608386695422,106.05998730716065
208,183,142.3938200906205,100.52078431387436
226,49,10.0,143.13010235415598
232,160,117.01709276853532,90.97931965433949
236,80,37.05401462729781,86.9059419410829
238,53,10.770329614269007,68.19859051364818
241,20,24.041630560342615,-73.07248693585295
253,58,24.20743687382041,38.29016319224307
259,252,210.48990474604713,83.17884763521565
261,227,185.9704277566732,81.65204402074686
274,250,210.8293148497144,79.06315104979356
306,82,81.88406438373708,28.44292862436335
309,187,162.3607095328177,62.487997376148556
25,201,262.0019083899963,142.911417234733
28,250,292.0359566902678,134.8612695701124
30,248,289.2075379377239,134.85991279867295
39,34,195.20758181996928,-177.35745470593528
77,261,268.650330355278,125.76081037904216
78,90,162.92636373527768,163.2333886253713
100,238,236.60304309116566,124.49605111596442
105,245,239.67686580060246,122.56286545984172
108,234,228.81652038259824,123.41227198390268
238,128,85.09406559801923,87.3057157101439
246,143,100.71742649611338,83.15722658736907
245,133,90.6697303403953,83.03174325862146
264,147,108.24047302187847,73.90918365114783
