X,Y,Distancia,Angulo
19,294,140.80127840328723,126.62574097240096
21,190,82.49242389456137,173.73650938566544
27,84,123.22743201089601,-128.078882361565
28,144,83.6301381082203,-153.74134044519272
40,156,67.77905281132217,-158.355564859286
44,121,84.1486779456457,-134.51853419416165
45,70,125.23977004130916,-117.58808136574584
58,222,60.876925020897694,137.66300076606714
65,329,152.80052355931247,104.40002130679105
71,92,94.57801012920498,-109.77607660263921
71,225,54.405882034941776,126.02737338510362
76,53,130.8166656049603,-101.9112154319716
76,122,64.88451279003334,-114.59011716619602
80,73,110.42191811411355,-102.02227668618352
83,105,78.587530817554,-104.74356283647074
91,45,136.5283853270081,-95.04245106917092
91,121,61.18823416311342,-101.30993247402021
97,106,75.23961722390672,-94.57392125990086
104,229,48.010415536631214,88.80651057601797
106,39,142.03168660548954,-88.78970583107879
119,125,58.240879114244144,-74.05460409907715
121,331,151.07613974417006,83.15722658736907
131,28,155.54099138169335,-79.62925847171537
147,237,71.21797525905943,51.84277341263094
160,174,57.42821606144492,-7.001267557495338
167,230,80.60397012554654,37.43857157233304
167,244,89.80534505250787,44.54886145321272
169,88,114.03946685248927,-54.63753811293095
170,334,167.0269439342048,66.3509802476536
171,182,68.00735254367721,0.8425242607404145
176,71,132.01893803541975,-56.430301581627546
180,17,181.1767093199344,-64.84937203432418
182,321,160.75136080294934,60.56458363860737
183,333,171.7672844286711,62.24145939893998
188,210,89.81091247727082,18.83843355798076
192,176,89.1403387922662,-3.21548399174821
193,16,187.94946129212502,-61.38954033403479
200,58,156.64609794054877,-51.74005609794695
211,150,112.36102527122117,-16.015439606265677
223,225,127.81236246936366,20.136303428248137
267,166,164.68454693747074,-5.225927408966777
272,93,190.53870997778904,-27.50644640009918
277,328,227.7827912727386,40.19204603696953
279,38,226.77080940897133,-39.0938588862295
282,15,244.12496799794977,-42.84204954784245
291,90,208.86598574205422,-25.82895746552029
292,190,189.21416437465774,2.7263109939062655
299,21,253.0138336138955,-39.22567409733672
300,31,247.6065427245411,-37.28641859227888
304,82,224.05802819805407,-26.22196677755446
306,177,203.03940504246953,-1.1288347966606407
327,194,224.37691503361035,3.3214757633460423
329,32,270.6972478618872,-33.39654663312345
333,155,231.46490014686893,-6.449534703842278
334,169,231.3114783144148,-2.9737310824801084
334,179,231.00865784641059,-0.4960549603952499
335,98,246.4000811688178,-19.685107581842267
18,229,97.6165969494942,150.54632727307907
23,129,95.4148835350125,-146.97613244420336
27,147,83.2586331859946,-155.89776549883888
41,121,86.27861844049197,-135.9391909457356
44,275,110.98198051936178,122.11483060029674
48,280,113.25193155085701,119.05460409907714
66,102,87.23531395025755,-115.09625046269215
68,93,94.70480452437458,-111.6890649646158
68,314,137.5281789307195,104.74356283647074
73,79,106.3202708800161,-106.38954033403479
74,105,81.34494452638098,-110.88580146069303
91,110,72.00694410957877,-99.59313426273035
94,78,103.39245620450265,-94.99374398582339
102,66,115.00434774390054,-90.49821161261364
113,151,31.622776601683793,-71.56505117707799
119,72,110.16805344563369,-81.64924746766859
122,53,129.40247292845683,-81.55680907082336
122,153,33.83784863137726,-55.84030545433057
124,65,117.88553770501282,-79.73862528276563
129,160,33.421549934136806,-38.927543592792304
134,146,46.75467891024384,-48.46822925891715
141,152,47.80167361086848,-37.34934904464059
143,185,40.19950248448356,5.710593137499642
145,68,120.55289295574785,-69.61083521971831
147,199,47.53945729601885,22.249023657212366
148,138,62.24146527838174,-43.69804732742112
152,100,94.66784036831093,-58.82865097228016
157,143,66.03029607687671,-35.134193056915635
171,104,102.7277956543408,-48.551733354820406
174,131,86.83893136145792,-35.15417763214743
185,60,146.16771189288008,-55.87505824799412
184,146,88.23831367382311,-23.369113163482076
200,38,172.7946758439044,-55.85010462979738
201,172,98.41239759298622,-5.247138901616438
215,221,118.92854997854805,19.65382405805331
215,109,133.1465358167459,-32.7352262721076
238,57,183.3057555015663,-42.56805005408242
239,20,210.75341041131458,-49.81153450167805
241,85,168.1071087134628,-34.824489156956794
241,88,166.41213898030395,-33.97654403625686
244,87,169.4609099468075,-33.690067525979785
266,193,163.44112089679268,4.210498403302206
268,49,211.303099835284,-38.65980825409009
270,39,219.20994502987313,-40.37449412939493
309,121,214.56001491424257,-16.23884162969228
335,53,264.96792258686713,-28.88658176691071
