X,Y,Distancia,Angulo
49,138,86.37129152675674,-137.81555668421123
69,65,138.19189556555045,-108.56606021766922
84,161,45.45327270945405,-129.64417495714483
95,91,106.53168542738823,-99.7275785514016
103,149,48.05205510693585,-102.01147838636544
108,36,160.0781059358212,-91.78991060824607
112,58,138.00362314084367,-90.41517954114488
112,99,97.0051545022222,-90.59065721464667
121,134,62.51399843235114,-82.64762064010765
127,150,48.08326112068523,-73.07248693585295
128,35,161.69724796668618,-84.67724929223176
131,80,117.38824472663352,-81.17962044797895
132,98,99.82484660644363,-79.02775976218835
134,127,72.12489168102785,-73.07248693585295
146,158,50.32891812864648,-49.028263666485145
150,119,85.42833253669417,-64.33480853782642
159,50,153.07514494521962,-72.51200262385146
163,33,170.49633427144408,-72.94668523129906
183,116,106.30145812734649,-48.81407483429036
188,168,80.05623023850174,-20.472279519741925
191,97,126.03570922560003,-51.76617482255306
192,62,155.5538491969903,-59.47842923837742
195,153,92.59049627256569,-27.672078222758767
201,145,101.71037311896953,-30.09424147644501
209,125,119.4026800369238,-36.48601207024965
219,101,142.3411395205195,-41.867534801431965
227,26,204.68512403201166,-56.1546597389283
251,146,146.77874505527018,-19.916405993809086
253,37,211.85136298829894,-48.63598017846984
262,167,151.79591562357663,-11.013832890351413
272,21,236.4444966583067,-47.7426113574816
278,101,190.3943276465977,-29.931511840507792
279,46,223.7319825147938,-42.101423200718294
285,28,240.4329428343795,-44.3259631020155
293,48,233.03218661807213,-39.427802196036204
295,100,205.7668583615933,-27.81041544384634
301,37,246.22144504490262,-40.222693682890146
308,84,224.87552112224222,-29.871292078071868
311,68,235.77107541002565,-32.88123966527481
314,165,203.37649815059754,-8.767581244552986
333,72,252.53910588263355,-29.407189060733653
335,112,237.36048533822978,-20.72555886556054
65,60,144.22205101855957,-109.4400348281762
169,113,100.12492197250393,-55.99250758026773
195,115,115.26057435220423,-44.648496560126645
202,119,117.6860229593982,-40.865328626263576
212,121,124.2014492669067,-37.14668669802178
218,50,179.836036433191,-54.277139337934706
226,62,175.28548142958104,-49.859614430972414
225,64,173.11268006705922,-49.6858998395027
239,74,175.38529014715002,-44.07595464722729
