X,Y,Distancia,Angulo
28,87,140.86873322352267,-128.6598082540901
43,222,77.1621668954417,161.09542415738835
57,115,101.01980003939822,-125.73547601486702
69,218,51.478150704935004,155.92450174492117
78,248,63.60031446463138,126.68972283247581
81,186,36.68787265568828,-162.5528115767178
87,61,139.05754204644924,-102.03720232036575
89,207,28.792360097775937,159.67686317033704
91,218,32.64965543462902,139.9697407281103
106,182,18.027756377319946,-123.69006752597979
109,59,138.1774221788784,-92.90381886509627
123,95,102.23991392797629,-86.07409229631602
124,238,41.773197148410844,78.95905981967627
145,248,58.66856057549052,60.376251248826186
157,93,111.7899816620434,-68.48411529050487
174,199,58.034472514187634,1.9749340108819766
175,68,141.85203558638133,-65.42233302472343
179,102,113.99122773266372,-56.449337988500034
181,248,82.61961026293939,38.11827636936305
191,125,103.96634070698074,-43.830860672092584
195,139,98.00510190801293,-36.285267125138844
207,116,121.82774724995944,-41.67259575827343
209,132,113.46365056704283,-34.95065141187513
215,106,134.46932735757994,-42.58897025338877
221,248,116.73045875006231,25.906507999514385
230,82,161.92899678562824,-45.250198320197555
252,91,172.42969581832475,-37.93327028359892
281,151,171.29214809792072,-15.577825774311025
295,154,184.09236811991963,-13.507838875272997
309,161,196.32880583347927,-10.565873271131503
324,178,208.86598574205422,-5.2192645279882255
68,125,86.53323061113575,-123.69006752597979
99,109,89.62700485902673,-100.93381678575578
118,235,38.05259518088089,86.98721249581666
145,194,29.154759474226502,-5.9061411137705
192,87,133.70115930686615,-55.35905248808371
232,133,132.48396129343357,-28.88658176691071
273,151,163.6001222493431,-16.33024841365478
