X,Y,Distancia,Angulo
18,191,262.6651861210389,145.7049308896594
22,228,282.1240861748603,139.02422846827272
26,137,229.16587878652442,155.78365455844
27,53,208.24024587000469,177.24751459973132
28,26,207.6968945362448,-175.30508572074896
30,150,231.2444593930847,152.43763753497043
34,175,240.46829312822095,146.70643672915335
35,89,205.22183119736556,167.0472354866245
39,32,196.30843079195554,-176.78779023989077
41,196,247.07286374670934,141.73857570160814
51,16,185.9704277566732,-171.65204402074687
61,25,174.92855684535903,-174.0938588862295
70,46,165.0272704737008,178.95837332399003
76,236,250.05999280172747,129.48286402101195
81,254,261.22212769977966,126.12412946455537
106,120,150.23315213360866,149.16705552263122
108,250,242.85386552410483,121.53022177043584
110,266,255.64428411368795,119.2722921834997
122,15,116.41735265844177,-166.08312256669873
133,80,108.50345616615168,160.06200825579447
134,42,101.00495037373169,-179.43273359014208
136,266,243.98770460824454,113.93864553878724
144,119,118.56221995222593,140.13255443987296
160,78,82.76472678623425,154.9831065219
175,183,152.31546211727817,113.19859051364818
178,225,190.71706793048176,107.38986809702999
181,18,59.50630218724736,-155.15761089454483
187,45,48.041648597857254,177.6140559696112
189,231,193.54586019855861,103.74904898341931
194,138,103.46980235798269,113.34401096157751
195,97,67.20119046564577,126.52885536698517
203,224,183.8069639594757,100.02603709032131
204,260,219.20310216782974,98.13010235415598
207,156,116.41735265844177,103.91687743330128
208,247,205.7790076757102,97.53944513950931
214,223,181.22085972646747,96.6544250460066
226,156,113.35784048754634,94.55376797915864
241,20,23.769728648009426,-75.37912601136834
265,86,52.43090691567332,55.097504384075286
278,151,116.24543001770004,68.29011724012877
290,147,117.64777940955791,62.128047473596666
291,97,77.79460135510689,43.958373323990024
305,88,83.21658488546619,32.7352262721076
316,102,100.20977996183805,36.069409899581004
330,96,108.78419002777932,29.15691788231299
331,142,137.90213921473443,45.88140399658214
39,35,196.16319736382766,-177.6626941408762
76,261,269.82401672201087,126.10543298192063
96,191,203.03940504246953,133.20385684750428
133,190,178.92177061498134,124.75591255354136
146,221,199.01004999748127,116.56505117707799
155,175,154.3502510525979,121.21840276434638
155,164,145.0551619212498,123.47096427464572
165,172,146.76852523616907,118.48583608976696
169,164,137.82960494755835,118.61045966596521
170,204,173.62603491412224,111.98524558121002
175,116,94.49338601193207,129.41739424346892
179,186,153.57408635573907,111.38572793192837
189,185,149.26486525636233,107.94940299291389
191,165,129.6919426949878,109.8321298502184
258,184,142.86357128393507,80.73547601486702
