X,Y,Distancia,Angulo
15,79,163.5145253486674,162.56236246502957
25,158,194.164878389476,138.758555685472
25,190,216.60101569475614,132.38045120460532
33,231,243.81345327934633,124.47221388003645
41,155,180.34688796871433,136.12330271407544
50,106,142.88806808127822,147.86710414001908
60,125,146.102703602637,139.44124118943282
60,244,241.07467722678797,117.41538991942748
62,108,134.03357788255897,144.41262943686618
62,136,152.04275714416653,135.79942411331754
85,47,87.66413177577246,168.8182457898033
106,239,218.87439320304236,107.27594376402861
121,186,163.8169710378018,107.77132082290876
172,157,127.00393694685216,89.54886145321272
212,23,41.593268686170845,-9.688786560366802
213,114,93.91485505499116,63.43494882292201
222,257,232.65854809140367,77.33763593714258
244,232,214.78593994952277,70.13084674772487
256,182,174.15223225672418,60.78562001973158
258,198,189.19038030513073,62.62229722866828
260,215,205.29490982486632,64.30867293488919
15,110,175.31685600648902,152.85031830221683
16,143,191.81762171396036,143.90674418377975
17,176,212.20744567521658,136.52752544221295
21,206,231.24878378058554,130.44004991258817
21,69,154.98709623707387,165.42578380196127
22,77,156.236999459155,162.4928369515397
23,201,226.15260334561705,130.8760924396844
24,129,177.22866585290316,146.04094018032373
24,137,181.81859090863068,143.94945808420889
25,81,154.65122049308243,160.74492221071617
28,137,178.60011198204776,143.19426333463022
34,78,145.16542288024377,160.6913270651108
40,113,155.08062419270823,147.64215232788985
42,144,172.15400082484288,138.5322945838909
42,147,174.1551032843999,137.7927023657133
43,90,141.36477637657833,154.88516511385544
46,76,133.19534526401438,159.79638483167486
52,167,181.46625030566977,130.97800982297989
53,82,128.94960255851896,156.21796957677864
54,125,150.71164520368026,140.9245819819825
56,108,138.95682782792647,145.85249086025343
57,134,154.31137352768266,137.62640563829075
56,174,184.28510520386612,128.61125252036402
60,132,150.74813431681335,137.41950921665634
59,188,193.66982212001952,125.33133133891639
62,220,219.04565734111233,119.8422126520936
62,249,244.6262455256999,116.46030581019876
63,207,207.3475343475297,121.3902681041878
75,118,130.23056476879765,137.48955292199918
76,66,101.59232254457027,159.2459286812006
76,79,106.89246933250256,152.71579270637693
79,208,200.3696583817021,117.33235949216768
82,100,113.22985472038724,141.81435288940975
90,231,216.7071757002984,111.94869908352698
90,83,96.79876032264049,146.80243420778356
90,176,166.96406799069075,119.0212732247026
90,179,169.59363195591985,118.5295715603914
93,80,92.64987857520376,147.3390872783262
96,53,78.44743462982075,162.95096902789018
107,169,153.0261415575783,114.72283955231052
113,124,110.45361017187261,121.67546873810922
127,195,170.76592165886026,104.93141717813755
146,205,176.7766952966369,98.13010235415598
146,207,178.7568180517879,98.03944455083665
163,179,149.21461054467824,93.07333251107335
173,249,219.0091322296858,89.47676541781581
230,141,125.70600622086441,62.00794695540732
