X,Y,Distancia,Angulo
24,90,212.61467494037188,-118.97608092368924
24,147,165.07574019219177,-128.60560223477242
27,77,222.71281956816046,-116.68010278853191
28,158,154.02921800749363,-129.99608004775968
39,170,137.7679207943562,-129.6990734834743
46,56,234.43762496664223,-110.21278953888547
56,48,238.79907872519107,-107.29677181543383
57,167,129.5414991421668,-122.7086512371334
69,70,214.00934559032697,-105.72474572274743
80,82,199.6121238802894,-103.61854166144106
82,198,90.0499861188218,-119.98163936884934
88,60,219.49259668608414,-100.23480276342322
95,80,198.59506539690256,-99.27260177720031
104,205,74.63243262818116,-107.94940299291389
109,112,164.98484778912274,-96.26349061433454
126,208,68.00735254367721,-90.84252426074042
137,19,257.19447894540815,-87.77171634405839
147,18,258.7740327003465,-85.56733153131015
161,53,225.5770378385176,-81.33108174796126
183,19,263.0304164920856,-77.70746220732235
200,44,243.21389762922678,-72.53354817516421
255,25,281.7534383108749,-62.980229961228865
256,199,150.23315213360866,-30.8329444773688
297,135,220.86421167767313,-39.67271155181333
313,192,204.08821622033938,-24.304549265936718
319,153,228.01973598791838,-32.64464013491648
172,202,86.6083136886985,-58.69587650440903
171,204,84.38009243891595,-58.57043438516149
196,158,136.69308687713507,-59.68321975239604
199,138,155.65346125287417,-62.447188423282206
218,41,252.0039682227246,-68.83190052944832
