X,Y,Distancia,Angulo
20,216,256.03124809288414,151.03233935393598
21,192,244.3951718017359,155.8470812172278
26,231,258.54400012377005,147.47781770821382
36,239,254.70178640912593,144.74997546196167
38,252,260.83711392361323,142.16354746583238
39,80,205.35091916034852,-176.64992360249855
39,91,205.00243900988104,-179.72051060945526
64,62,182.4828759089466,-170.53767779197437
71,221,215.8008341040414,143.2894043890257
74,144,177.7751388693031,162.9920530445927
81,268,239.88538930080756,132.80389280677028
96,100,148.21605850919124,176.9059419410829
103,262,220.86421167767313,129.67271155181334
104,274,229.61707253599414,127.56859202882748
120,43,133.33041663476493,-158.43798652796852
121,273,218.83783950679097,124.19838176430929
132,123,116.21101496846157,164.52867183447987
158,20,112.16059914247963,-140.06361685303008
176,129,77.41446893184762,151.44860812703982
198,89,46.09772228646444,-176.26860300083956
200,263,176.57009939398006,104.42975224975578
202,122,51.61395160225576,144.46232220802563
207,109,40.718546143004666,155.32313682966296
207,273,184.74306482247175,101.55322519228505
222,91,22.02271554554524,-177.3974377975002
229,273,181.62048342629197,94.73744334801012
234,103,14.866068747318506,132.27368900609375
260,164,73.7563556583431,77.47119229084849
262,127,39.35733730830886,62.78388844269253
264,265,174.15223225672418,83.40548496777201
270,57,43.60045871318328,-53.3929251873925
276,178,91.76055797563569,69.59011716619602
293,19,87.92041856133307,-56.12918928961119
293,257,172.12204972053988,73.46017599877108
302,270,187.21111078138497,71.95217893122894
303,62,66.18912297349165,-26.952178931228943
311,106,68.4470598345904,11.802434207783548
311,260,180.86735471057236,68.25741572861868
315,40,88.0056816347672,-36.21883726561454
323,47,90.91754506144565,-29.666715206946453
79,232,216.390850083824,139.6858998395027
90,241,214.28252378577213,135.94538910446445
104,253,213.3565091577944,131.0090869015702
134,98,110.16351483136329,176.8778695378843
133,168,134.52509059651288,145.60115486365214
153,127,97.49871794028884,158.96248897457818
159,90,85.0235261559999,-178.6521127198014
161,201,137.00364958642524,127.28810758734112
163,29,102.61578825892242,-142.12501634890182
169,247,172.19175357722565,115.82099197418928
197,170,91.0659101969557,121.07165806084632
251,108,17.46424919657298,66.37062226934319
282,149,68.5054742338158,56.309932474020215
294,221,138.351002887583,68.81382355960088
303,114,62.96824596572466,20.44954761079258
304,123,67.53517601961218,27.32389130134654
311,205,131.36970731489052,59.335435419520124
