X,Y,Distancia,Angulo
17,229,114.72575996697516,165.35811545876663
19,73,167.36188335460378,-130.6384273549794
29,238,106.04244433244644,159.001280965613
57,252,88.0056816347672,143.78116273438548
64,72,143.10835055998655,-116.56505117707799
69,61,151.00331122197287,-112.99930164945941
78,146,73.59347797189639,-132.7974018382342
81,38,168.6801707374047,-106.17868361627966
81,159,62.369864518050704,-138.90049374238188
81,240,61.71709649683789,139.6000956662633
96,29,173.9683879329805,-100.59942371643346
104,258,62.76941930590086,112.47943439710312
106,27,174.39323381370048,-97.24726889348769
116,260,61.18823416311342,101.30993247402021
117,57,143.42245291445826,-94.39870535499554
128,95,105.0,-90.0
129,263,63.00793600809346,89.09061955080087
130,227,27.073972741361768,85.76360520094116
155,155,52.478567053607705,-59.03624346792648
160,26,176.91806012954132,-79.5792876032055
166,268,77.89736837660179,60.80251395393553
167,245,59.54829972383762,49.08561677997488
172,100,109.2520022699813,-66.25050550713324
176,159,63.12685640834652,-40.50284838533223
181,225,58.60034129593445,25.253163394573882
195,154,81.27115109311545,-34.47221388003645
209,90,136.60527076214885,-53.63341982736376
211,109,123.1665539016173,-47.632434868986486
213,191,85.47514258543241,-6.044092162241109
230,229,106.04244433244644,15.871178611457006
238,83,160.58953888718904,-46.76627048600905
261,94,170.07351351694948,-38.55458196374032
263,28,218.65269264292172,-51.87220869363395
277,64,201.73497465734593,-42.388318622101615
304,214,176.555940143627,4.548042409125415
305,50,232.01077561182368,-40.279863068956445
308,196,180.0444389588304,-1.273030020056711
308,240,184.39088914585776,12.528807709151511
315,254,194.64069461446135,16.107133733880854
331,88,231.8469322635087,-28.88658176691071
64,140,87.72684879784524,-136.8476102659946
135,166,34.713109915419565,-78.36636600105956
163,156,56.22277118748239,-51.49934627965457
165,59,145.7737973711325,-75.29644817623844
168,103,104.92378186092989,-67.59016262850673
176,156,65.11528238439882,-42.510447078000844
180,146,74.96665925596525,-46.08092418666069
182,105,109.27488274987991,-60.385188353653575
193,244,78.49203781276162,34.094977954765554
201,87,134.52880732393342,-57.13682445529228
207,105,123.5556554755791,-50.253802751262256
211,105,126.15070352558483,-48.85680098558985
223,71,160.20611723651504,-53.630801788548446
233,97,147.08500943332058,-44.44909602078143
248,168,124.1933975700802,-14.931417178137554
248,38,201.6035713969373,-53.47114463301483
253,145,136.56500283747664,-23.74949449286676
267,37,214.21951358361358,-49.54375765146715
269,35,217.03916697223107,-49.48460600954463
270,37,216.17816726024856,-48.938739083851196
276,27,227.6686188300882,-49.45329874439391
278,241,155.502411556863,15.287434424116748
287,244,164.97575579460153,15.468339652091126
309,161,185.15398996510984,-12.159595728526515
