X,Y,Distancia,Angulo
17,127,200.6888138387389,-150.113473059576
19,199,174.26416728633572,-170.75388725443676
21,32,258.69866640553056,-131.08175113593262
25,77,223.7319825147938,-137.89857679928173
26,23,262.37568484903477,-128.9667469937993
26,208,166.0903368652132,-173.43123587817888
31,65,227.69277546729498,-134.64413016937812
33,217,158.3161394173064,-176.37851529588266
34,154,173.1415605797753,-155.06307266608826
41,202,152.0690632574555,-170.53767779197437
41,229,150.0133327407934,179.23610153907003
44,180,154.33081351434652,-162.26947198845806
74,123,156.54072952429985,-138.3664606634298
85,255,109.63576058932597,165.20323775494268
96,257,99.62429422585637,162.47443162627712
104,31,214.44113411377026,-113.93536029312392
115,33,208.35546549106888,-111.39289035198145
122,173,87.6184911990614,-141.95295746817393
135,30,204.80478510034868,-105.86854044129988
146,67,166.20770138594662,-105.70863782901574
152,114,119.54078801814885,-109.04123073843937
154,25,205.36065835500236,-100.37971024956776
164,19,209.74508337503408,-97.39607655971267
167,116,113.5649593844862,-102.2004687273808
170,171,59.80802621722272,-110.55604521958347
172,127,101.78899744078434,-100.75796708839002
175,249,27.202941017470888,126.02737338510362
196,104,123.10158406779338,-87.67218491095885
212,233,21.840329667841555,15.945395900922854
215,85,144.01388821915754,-80.40686573726967
219,198,40.311288741492746,-46.005086005254185
222,109,122.00409829181969,-75.28034028250676
225,16,213.7217817631137,-80.84619054615565
225,124,108.4665847162157,-71.73209379275889
230,63,168.5734261382855,-76.62324717014856
242,174,73.55270219373317,-46.101706115206376
245,19,214.89532335534898,-75.44642720928745
267,132,121.65936051122412,-51.34019174590991
275,27,216.92394980729998,-67.21759426951832
284,241,94.04786015641186,8.560889571164607
285,212,95.1892851112981,-9.066502739816176
287,29,220.04544985070697,-64.13364320590549
294,160,122.87391912037315,-33.04341575685087
295,37,216.60101569475614,-61.30509562065655
297,47,208.89231675674432,-59.506641597524336
297,244,107.35455276791944,9.111357044783997
311,102,173.27723451163456,-46.16913932790742
334,84,202.2325394193526,-45.0
334,187,148.48905683584903,-15.627383739121065
16,232,175.07141400011596,178.36342295838327
16,234,175.13994404475525,177.70938995736148
21,93,216.46246787838302,-141.753574035531
69,208,123.47064428438041,-171.14799590061057
73,63,202.03960007879644,-125.73547601486702
122,120,127.3184982632139,-122.81634341401261
121,254,75.02666192761077,158.9076604941725
133,222,58.215118311311535,-175.072890052351
155,220,36.6742416417845,-168.9964591482505
193,131,96.02083107326243,-88.80651057601797
200,56,171.23667831396403,-86.98721249581666
