X,Y,Distancia,Angulo
35,264,176.0454486773231,-178.69804732742114
64,277,147.27525250360293,176.49646835521557
65,61,253.3081127796739,-125.19585296562643
73,215,147.82760229402356,-158.99031596584004
84,52,250.56935167733502,-120.45395127746654
95,64,234.67424230196207,-119.6237487511738
109,187,130.24976007655445,-141.54629078329404
112,60,230.3584163862914,-115.45265156078021
126,107,182.0604295282201,-117.83182756481801
132,285,80.8084154033477,167.855721950433
142,236,76.05918747922567,-155.1196331408183
156,44,230.6534196581529,-103.79525317712375
159,288,55.71355310873648,158.96248897457818
184,288,33.60059523282288,143.47114463301483
190,47,221.9954954497951,-95.42809718611075
194,192,77.87810988975015,-102.60860679336623
205,128,140.12851244482687,-92.45403167452707
209,202,66.03029607687671,-91.73570458892839
212,151,117.00427342623003,-89.51030440687077
218,111,157.15597347857954,-87.44710185282825
224,152,116.72617529928752,-83.60560223477242
232,19,249.8839730755056,-85.17923392190735
233,63,206.17710833164773,-83.87462805980029
235,289,31.89043743820395,41.18592516570965
239,140,131.0267148332736,-77.66091272167381
246,205,72.069410986909,-60.94539590092286
257,178,101.07423014794622,-62.927919762007235
258,296,54.70831746635972,30.784146526326445
267,136,143.38758663147937,-67.01128319791937
268,171,112.50777750893491,-59.56027561935687
271,154,128.82546332150332,-62.24145939893998
275,37,239.70189819857498,-74.51427384309024
275,193,98.59513172565875,-49.52476847283419
276,210,87.11486669908874,-41.74277805933305
276,224,78.49203781276162,-34.094977954765554
277,133,150.26975743641833,-63.94650468950905
277,299,72.91776189653656,25.159301916031655
286,252,76.68767828015137,-12.042575142884983
301,128,166.43316977093238,-57.264773727892404
312,190,127.61269529321916,-37.67809171302629
316,51,241.0684550081159,-64.17900802581072
317,136,169.29264603047588,-51.23448009554123
321,258,110.45361017187261,-5.194428907734806
329,194,139.2838827718412,-32.092591328734166
330,146,170.42593699317015,-45.713188635017595
334,215,133.9328189802634,-23.3109350353842
62,125,206.51876428063383,-136.17714488598207
244,168,105.30432089900205,-71.73711005780586
261,214,73.59347797189639,-47.202598161765806
302,136,160.3277892319357,-55.417855749266685
302,138,158.68522300453813,-55.00797980144134
